 ,Label,Area,X,Y,Slice
1,MASK_c10.avi:0.04 s,168458,720.6397,557.0353,1
2,MASK_c10.avi:0.08 s,168458,720.6397,557.0353,2
3,MASK_c10.avi:0.12 s,168458,720.6397,557.0353,3
4,MASK_c10.avi:0.16 s,168476,720.6855,557.0124,4
5,MASK_c10.avi:0.20 s,168476,720.6855,557.0124,5
6,MASK_c10.avi:0.24 s,168476,720.6855,557.0124,6
7,MASK_c10.avi:0.28 s,168476,720.6855,557.0124,7
8,MASK_c10.avi:0.32 s,168532,720.6690,557.0489,8
9,MASK_c10.avi:0.36 s,168532,720.6690,557.0489,9
10,MASK_c10.avi:0.40 s,168532,720.6690,557.0489,10
11,MASK_c10.avi:0.44 s,168532,720.6690,557.0489,11
12,MASK_c10.avi:0.48 s,168492,720.6816,557.0722,12
13,MASK_c10.avi:0.52 s,168492,720.6816,557.0722,13
14,MASK_c10.avi:0.56 s,168492,720.6816,557.0722,14
15,MASK_c10.avi:0.60 s,168429,720.6757,557.0615,15
16,MASK_c10.avi:0.64 s,168429,720.6757,557.0615,16
17,MASK_c10.avi:0.68 s,168429,720.6757,557.0615,17
18,MASK_c10.avi:0.72 s,168429,720.6757,557.0615,18
19,MASK_c10.avi:0.76 s,168429,720.6757,557.0615,19
20,MASK_c10.avi:0.80 s,168429,720.6757,557.0615,20
21,MASK_c10.avi:0.84 s,168455,720.6877,557.0486,21
22,MASK_c10.avi:0.88 s,168455,720.6877,557.0486,22
23,MASK_c10.avi:0.92 s,168455,720.6877,557.0486,23
24,MASK_c10.avi:0.96 s,168442,720.6503,557.0007,24
25,MASK_c10.avi:1.00 s,168442,720.6503,557.0007,25
26,MASK_c10.avi:1.04 s,168442,720.6503,557.0007,26
27,MASK_c10.avi:1.08 s,168442,720.6503,557.0007,27
28,MASK_c10.avi:1.12 s,168460,720.6267,557.0327,28
29,MASK_c10.avi:1.16 s,168460,720.6267,557.0327,29
30,MASK_c10.avi:1.20 s,168460,720.6267,557.0327,30
31,MASK_c10.avi:1.24 s,168460,720.6267,557.0327,31
32,MASK_c10.avi:1.28 s,168391,720.6266,557.0047,32
33,MASK_c10.avi:1.32 s,168391,720.6266,557.0047,33
34,MASK_c10.avi:1.36 s,168391,720.6266,557.0047,34
35,MASK_c10.avi:1.40 s,168391,720.6266,557.0047,35
36,MASK_c10.avi:1.44 s,168422,720.6990,556.9947,36
37,MASK_c10.avi:1.48 s,168422,720.6990,556.9947,37
38,MASK_c10.avi:1.52 s,168422,720.6990,556.9947,38
39,MASK_c10.avi:1.56 s,168422,720.6990,556.9947,39
40,MASK_c10.avi:1.60 s,168458,720.7076,556.9947,40
41,MASK_c10.avi:1.64 s,168458,720.7076,556.9947,41
42,MASK_c10.avi:1.68 s,168458,720.7076,556.9947,42
43,MASK_c10.avi:1.72 s,168458,720.7076,556.9947,43
44,MASK_c10.avi:1.76 s,168454,720.6898,557.0092,44
45,MASK_c10.avi:1.80 s,168454,720.6898,557.0092,45
46,MASK_c10.avi:1.84 s,168454,720.6898,557.0092,46
47,MASK_c10.avi:1.88 s,168454,720.6898,557.0092,47
48,MASK_c10.avi:1.92 s,168423,720.6947,557.0348,48
49,MASK_c10.avi:1.96 s,168423,720.6947,557.0348,49
50,MASK_c10.avi:2.00 s,168423,720.6947,557.0348,50
51,MASK_c10.avi:2.04 s,168423,720.6947,557.0348,51
52,MASK_c10.avi:2.08 s,168429,720.6588,557.0791,52
53,MASK_c10.avi:2.12 s,168429,720.6588,557.0791,53
54,MASK_c10.avi:2.16 s,168429,720.6588,557.0791,54
55,MASK_c10.avi:2.20 s,168429,720.6588,557.0791,55
56,MASK_c10.avi:2.24 s,168410,720.6672,557.0442,56
57,MASK_c10.avi:2.28 s,168410,720.6672,557.0442,57
58,MASK_c10.avi:2.32 s,168410,720.6672,557.0442,58
59,MASK_c10.avi:2.36 s,168410,720.6672,557.0442,59
60,MASK_c10.avi:2.40 s,168410,720.6672,557.0442,60
61,MASK_c10.avi:2.44 s,168401,720.6938,557.0551,61
62,MASK_c10.avi:2.48 s,168401,720.6938,557.0551,62
63,MASK_c10.avi:2.52 s,168401,720.6938,557.0551,63
64,MASK_c10.avi:2.56 s,168383,720.6391,557.0374,64
65,MASK_c10.avi:2.60 s,168383,720.6391,557.0374,65
66,MASK_c10.avi:2.64 s,168383,720.6391,557.0374,66
67,MASK_c10.avi:2.68 s,168383,720.6391,557.0374,67
68,MASK_c10.avi:2.72 s,168400,720.6411,557.0444,68
69,MASK_c10.avi:2.76 s,168400,720.6411,557.0444,69
70,MASK_c10.avi:2.80 s,168400,720.6411,557.0444,70
71,MASK_c10.avi:2.84 s,168400,720.6411,557.0444,71
72,MASK_c10.avi:2.88 s,168400,720.6411,557.0444,72
73,MASK_c10.avi:2.92 s,168411,720.6698,557.0133,73
74,MASK_c10.avi:2.96 s,168411,720.6698,557.0133,74
75,MASK_c10.avi:3.00 s,168411,720.6698,557.0133,75
76,MASK_c10.avi:3.04 s,168409,720.6349,556.9932,76
77,MASK_c10.avi:3.08 s,168409,720.6349,556.9932,77
78,MASK_c10.avi:3.12 s,168409,720.6349,556.9932,78
79,MASK_c10.avi:3.16 s,168409,720.6349,556.9932,79
80,MASK_c10.avi:3.20 s,168409,720.6349,556.9932,80
81,MASK_c10.avi:3.24 s,168358,720.6808,556.9758,81
82,MASK_c10.avi:3.28 s,168358,720.6808,556.9758,82
83,MASK_c10.avi:3.32 s,168358,720.6808,556.9758,83
84,MASK_c10.avi:3.36 s,168349,720.6694,556.9771,84
85,MASK_c10.avi:3.40 s,168349,720.6694,556.9771,85
86,MASK_c10.avi:3.44 s,168349,720.6694,556.9771,86
87,MASK_c10.avi:3.48 s,168349,720.6694,556.9771,87
88,MASK_c10.avi:3.52 s,168446,720.6400,556.9558,88
