Time	Gap	Axial force
s	µm	N
0.00000	395.020	9.38416e-4
5.44000e-4	395.020	-5.87463e-4
1.56800e-3	395.020	-2.79236e-3
2.59200e-3	395.020	-2.21634e-3
3.61600e-3	395.020	1.14441e-4
4.64000e-3	395.020	3.08609e-3
5.66400e-3	395.020	6.16837e-3
6.68800e-3	395.020	7.41577e-3
7.71200e-3	395.020	5.71442e-3
8.73600e-3	395.020	1.61362e-3
9.76000e-3	395.020	-1.90353e-3
0.0107840	395.020	-3.09372e-3
0.0118080	395.020	-1.80817e-3
0.0128320	395.020	2.28882e-4
0.0138560	395.020	1.56784e-3
0.0148800	394.961	1.23215e-3
0.0159040	394.961	-5.64575e-4
0.0169280	394.961	-2.32697e-3
0.0179520	394.961	-2.62833e-3
0.0189760	394.961	-1.02234e-3
0.0200000	394.961	1.71280e-3
0.0210240	394.961	4.36783e-3
0.0220480	394.961	6.82449e-3
0.0230720	394.961	8.52203e-3
0.0240960	394.961	6.67191e-3
0.0251200	394.961	2.46811e-3
0.0261440	394.961	-2.33459e-3
0.0271680	394.961	-4.28391e-3
0.0281920	394.961	-2.80762e-3
0.0292160	394.961	1.60217e-4
0.0302400	394.961	2.24304e-3
0.0312640	394.961	2.49100e-3
0.0322880	394.738	9.76563e-4
0.0333120	394.738	-1.59454e-3
0.0343360	394.738	-3.27682e-3
0.0353600	394.738	-2.94495e-3
0.0363840	394.738	-7.85828e-4
0.0374080	394.738	1.77002e-3
0.0384320	394.738	2.73514e-3
0.0394560	394.738	1.70135e-3
0.0404800	394.738	-2.05994e-4
0.0420160	394.738	-6.90460e-4
0.0440640	394.738	2.63214e-3
0.0461120	394.738	7.16400e-3
0.0481600	394.738	0.0107422
0.0502080	394.738	-3.74985e-3
0.0522560	394.738	-0.0118065
0.0543040	394.602	-1.73950e-3
0.0563520	394.602	3.18527e-3
0.0584000	394.602	-1.95313e-3
0.0604480	394.602	5.26428e-4
0.0624960	394.602	6.98471e-3
0.0645440	394.602	3.77655e-4
0.0665920	394.602	-2.30026e-3
0.0686400	394.602	2.60925e-3
0.0706880	394.602	4.15421e-3
0.0727360	394.602	1.79291e-3
0.0747840	394.602	4.57764e-3
0.0768320	394.602	1.02615e-3
0.0788800	394.262	-3.16238e-3
0.0809280	394.262	1.77002e-3
0.0829760	394.262	5.24902e-3
0.0850240	394.262	2.47955e-3
0.0870720	394.262	1.36185e-3
0.0891200	394.262	2.79999e-3
0.0911680	394.262	-2.28882e-4
0.0932160	394.262	-1.39236e-3
0.0952640	394.262	2.73132e-3
0.0973120	394.262	4.13895e-3
0.0993600	394.262	7.89261e-3
0.101408	394.262	0.0116844
0.103456	394.078	-1.88065e-3
0.105504	394.078	-9.61304e-3
0.107552	394.078	1.47247e-3
0.109600	394.078	2.23160e-3
0.111648	394.078	-1.49918e-3
0.113696	394.078	3.81088e-3
0.115744	393.738	7.01904e-3
0.117792	393.738	1.07956e-3
0.119840	393.738	-6.44684e-4
0.121888	393.738	4.76074e-3
0.124960	393.738	-8.43048e-4
0.129056	393.738	4.95148e-3
0.133152	393.738	-1.00708e-3
0.137248	393.738	4.66156e-3
0.141344	393.660	1.95313e-3
0.145440	393.660	3.97491e-3
0.149536	393.461	-6.02722e-4
0.153632	393.461	9.12094e-3
0.157728	393.461	-9.42230e-4
0.161824	393.461	3.07846e-3
0.165920	393.461	-6.40869e-4
0.170016	393.121	5.57327e-3
0.174112	393.121	2.04468e-3
0.178208	393.121	3.17764e-3
0.182304	393.121	4.17328e-3
0.186400	393.121	-8.01086e-5
0.190496	393.121	3.71933e-3
0.194592	393.121	4.76456e-3
0.198688	393.121	2.48337e-3
0.202784	393.102	2.36130e-3
0.206880	393.102	5.84793e-3
0.210976	393.102	5.55801e-3
0.215072	392.742	1.86157e-3
