 ,Label,Area,X,Y,Slice
1,MASK_c8.avi:0.04 s,145931,829.9061,455.9206,1
2,MASK_c8.avi:0.08 s,145931,829.9061,455.9206,2
3,MASK_c8.avi:0.12 s,145931,829.9061,455.9206,3
4,MASK_c8.avi:0.16 s,146000,829.9534,455.9208,4
5,MASK_c8.avi:0.20 s,146000,829.9534,455.9208,5
6,MASK_c8.avi:0.24 s,146000,829.9534,455.9208,6
7,MASK_c8.avi:0.28 s,146000,829.9534,455.9208,7
8,MASK_c8.avi:0.32 s,145983,829.9353,455.8995,8
9,MASK_c8.avi:0.36 s,145983,829.9353,455.8995,9
10,MASK_c8.avi:0.40 s,145983,829.9353,455.8995,10
11,MASK_c8.avi:0.44 s,145983,829.9353,455.8995,11
12,MASK_c8.avi:0.48 s,145983,829.9353,455.8995,12
13,MASK_c8.avi:0.52 s,145969,829.9297,455.8907,13
14,MASK_c8.avi:0.56 s,145969,829.9297,455.8907,14
15,MASK_c8.avi:0.60 s,145969,829.9297,455.8907,15
16,MASK_c8.avi:0.64 s,145934,829.9160,455.9076,16
17,MASK_c8.avi:0.68 s,145934,829.9160,455.9076,17
18,MASK_c8.avi:0.72 s,145934,829.9160,455.9076,18
19,MASK_c8.avi:0.76 s,145934,829.9160,455.9076,19
20,MASK_c8.avi:0.80 s,145938,829.9018,455.8924,20
21,MASK_c8.avi:0.84 s,145938,829.9018,455.8924,21
22,MASK_c8.avi:0.88 s,145938,829.9018,455.8924,22
23,MASK_c8.avi:0.92 s,145938,829.9018,455.8924,23
24,MASK_c8.avi:0.96 s,145960,829.8802,455.9140,24
25,MASK_c8.avi:1.00 s,145960,829.8802,455.9140,25
26,MASK_c8.avi:1.04 s,145960,829.8802,455.9140,26
27,MASK_c8.avi:1.08 s,145960,829.8802,455.9140,27
28,MASK_c8.avi:1.12 s,145960,829.8802,455.9140,28
29,MASK_c8.avi:1.16 s,145992,829.8819,455.9369,29
30,MASK_c8.avi:1.20 s,145992,829.8819,455.9369,30
31,MASK_c8.avi:1.24 s,145992,829.8655,456.0035,31
32,MASK_c8.avi:1.28 s,145992,829.8655,456.0035,32
33,MASK_c8.avi:1.32 s,145992,829.8655,456.0035,33
34,MASK_c8.avi:1.36 s,145992,829.8655,456.0035,34
35,MASK_c8.avi:1.40 s,145984,829.8468,455.9595,35
36,MASK_c8.avi:1.44 s,145984,829.8468,455.9595,36
37,MASK_c8.avi:1.48 s,145984,829.8468,455.9595,37
38,MASK_c8.avi:1.52 s,145984,829.8468,455.9595,38
39,MASK_c8.avi:1.56 s,145984,829.8468,455.9595,39
40,MASK_c8.avi:1.60 s,146009,829.8825,455.9553,40
41,MASK_c8.avi:1.64 s,146009,829.8825,455.9553,41
42,MASK_c8.avi:1.68 s,146009,829.8825,455.9553,42
43,MASK_c8.avi:1.72 s,146009,829.8825,455.9553,43
44,MASK_c8.avi:1.76 s,146000,829.8741,455.9674,44
45,MASK_c8.avi:1.80 s,146000,829.8741,455.9674,45
46,MASK_c8.avi:1.84 s,146000,829.8741,455.9674,46
47,MASK_c8.avi:1.88 s,146000,829.8741,455.9674,47
48,MASK_c8.avi:1.92 s,146000,829.8741,455.9674,48
49,MASK_c8.avi:1.96 s,145962,829.8926,455.9500,49
50,MASK_c8.avi:2.00 s,145962,829.8926,455.9500,50
51,MASK_c8.avi:2.04 s,145962,829.8926,455.9500,51
52,MASK_c8.avi:2.08 s,145962,829.8926,455.9500,52
53,MASK_c8.avi:2.12 s,145963,829.9159,455.9334,53
54,MASK_c8.avi:2.16 s,145963,829.9159,455.9334,54
55,MASK_c8.avi:2.20 s,145963,829.9159,455.9334,55
56,MASK_c8.avi:2.24 s,145950,829.9213,455.9328,56
57,MASK_c8.avi:2.28 s,145950,829.9213,455.9328,57
58,MASK_c8.avi:2.32 s,145950,829.9213,455.9328,58
59,MASK_c8.avi:2.36 s,145950,829.9213,455.9328,59
60,MASK_c8.avi:2.40 s,145927,829.8968,455.9403,60
61,MASK_c8.avi:2.44 s,145927,829.8968,455.9403,61
62,MASK_c8.avi:2.48 s,145927,829.8968,455.9403,62
63,MASK_c8.avi:2.52 s,145927,829.8968,455.9403,63
64,MASK_c8.avi:2.56 s,145912,829.9473,455.9044,64
65,MASK_c8.avi:2.60 s,145912,829.9473,455.9044,65
66,MASK_c8.avi:2.64 s,145912,829.9473,455.9044,66
67,MASK_c8.avi:2.68 s,145912,829.9473,455.9044,67
68,MASK_c8.avi:2.72 s,145929,829.9107,455.9094,68
69,MASK_c8.avi:2.76 s,145929,829.9107,455.9094,69
70,MASK_c8.avi:2.80 s,145929,829.9107,455.9094,70
71,MASK_c8.avi:2.84 s,145929,829.9107,455.9094,71
72,MASK_c8.avi:2.88 s,145931,829.9299,455.9021,72
73,MASK_c8.avi:2.92 s,145931,829.9299,455.9021,73
74,MASK_c8.avi:2.96 s,145931,829.9299,455.9021,74
75,MASK_c8.avi:3.00 s,145931,829.9299,455.9021,75
76,MASK_c8.avi:3.04 s,145931,829.9299,455.9021,76
