Time	Gap	Axial force
s	µm	N
0.00000	776.250	1.68610e-3
5.44000e-4	776.250	-2.15530e-3
1.56800e-3	776.250	-4.58145e-3
2.59200e-3	776.250	-4.13513e-3
3.61600e-3	776.250	-1.61362e-3
4.64000e-3	776.250	6.17981e-4
5.66400e-3	776.250	1.10626e-3
6.68800e-3	776.250	-1.56403e-4
7.71200e-3	776.250	-1.88065e-3
8.73600e-3	776.250	-2.72369e-3
9.76000e-3	776.250	-1.98746e-3
0.0107840	776.250	-7.62939e-5
0.0118080	776.250	1.70898e-3
0.0128320	776.250	1.04904e-3
0.0138560	776.250	3.73840e-4
0.0148800	776.250	1.69373e-3
0.0159040	776.250	4.45175e-3
0.0169280	776.250	5.26047e-3
0.0179520	776.250	2.58255e-3
0.0189760	776.250	-1.79291e-3
0.0200000	776.109	-4.27246e-3
0.0210240	776.109	-3.52859e-3
0.0220480	776.109	-5.30243e-4
0.0230720	776.109	2.01416e-3
0.0240960	776.109	2.73514e-3
0.0251200	776.109	1.39999e-3
0.0261440	776.109	-8.39233e-4
0.0271680	776.109	-1.95313e-3
0.0281920	776.109	-9.88007e-4
0.0292160	776.109	1.27792e-3
0.0302400	776.109	2.78854e-3
0.0312640	776.109	2.55966e-3
0.0322880	776.109	-2.36511e-4
0.0333120	776.109	-1.45340e-3
0.0343360	776.109	-1.12534e-3
0.0353600	776.109	8.54492e-4
0.0363840	776.109	3.50952e-3
0.0374080	776.109	4.55093e-3
0.0384320	776.109	3.55530e-3
0.0394560	776.109	2.00653e-3
0.0404800	776.109	1.65939e-3
0.0420160	775.891	6.54602e-3
0.0440640	775.891	5.94330e-3
0.0461120	775.891	-4.26102e-3
0.0481600	775.891	-2.99454e-3
0.0502080	775.891	3.19672e-3
0.0522560	775.891	7.17163e-4
0.0543040	775.891	1.15585e-3
0.0563520	775.891	3.78799e-3
0.0584000	775.891	1.97220e-3
0.0604480	775.891	3.05176e-5
0.0624960	775.891	1.72043e-3
0.0645440	775.891	2.75803e-3
0.0665920	775.648	9.15527e-4
0.0686400	775.648	4.74167e-3
0.0706880	775.648	4.66537e-3
0.0727360	775.648	-3.95966e-3
0.0747840	775.648	5.11169e-4
0.0768320	775.648	8.94547e-3
0.0788800	775.648	5.58472e-3
0.0809280	775.648	-4.95911e-4
0.0829760	775.648	2.03323e-3
0.0850240	775.648	4.18854e-3
0.0870720	775.648	7.12204e-3
0.0891200	775.648	4.34113e-3
0.0911680	775.469	-1.52588e-3
0.0932160	775.469	1.72424e-3
0.0952640	775.469	5.66483e-3
0.0973120	775.469	3.22342e-3
0.0993600	775.469	3.79181e-3
0.101408	775.469	7.09915e-3
0.103456	775.070	4.48227e-3
0.105504	775.070	1.43433e-3
0.107552	775.070	4.68445e-3
0.109600	775.070	5.42831e-3
0.111648	775.070	2.73895e-3
0.113696	775.070	2.82669e-3
0.115744	775.070	3.97491e-3
0.117792	775.070	9.78470e-3
0.119840	775.070	4.59671e-3
0.121888	775.070	-3.10135e-3
0.124960	775.070	6.69479e-3
0.129056	775.012	4.19617e-3
0.133152	775.012	4.99344e-3
0.137248	775.012	6.05774e-3
0.141344	774.789	4.58145e-3
0.145440	774.789	0.0142708
0.149536	774.789	-3.46756e-3
0.153632	774.789	9.80377e-3
0.157728	774.789	2.32697e-3
0.161824	774.789	5.96619e-3
0.165920	774.469	0.0120926
0.170016	774.469	6.40869e-4
0.174112	774.469	7.18689e-3
