Time	Gap	Axial force
s	µm	N
1.44009e-8	899.473	-3.39508e-4
5.43996e-4	899.473	-1.48773e-4
1.56800e-3	899.473	-9.19342e-4
2.59201e-3	899.473	-2.33078e-3
3.61599e-3	899.473	-3.30734e-3
4.64000e-3	899.473	-3.03650e-3
5.66401e-3	899.473	-1.60599e-3
6.68801e-3	899.473	-4.95911e-4
7.71199e-3	899.473	-4.57764e-4
8.73600e-3	899.473	-1.43814e-3
9.76001e-3	899.473	-1.97983e-3
0.0107840	899.473	-2.08664e-3
0.0118080	899.430	-1.62506e-3
0.0128320	899.430	-8.20160e-4
0.0138560	899.430	-2.74658e-4
0.0148800	899.430	6.10352e-5
0.0159040	899.430	6.48499e-4
0.0169280	899.430	1.60599e-3
0.0179520	899.430	2.01035e-3
0.0189760	899.430	9.07898e-4
0.0200000	899.430	-1.23215e-3
0.0210240	899.430	-2.69699e-3
0.0220480	899.430	-2.29645e-3
0.0230720	899.430	-1.44958e-4
0.0240960	899.430	3.05939e-3
0.0251200	899.430	5.84793e-3
0.0261440	899.430	6.83212e-3
0.0271680	899.430	4.10080e-3
0.0281920	899.430	-1.39999e-3
0.0292160	899.430	-6.95038e-3
0.0302400	899.430	-8.02612e-3
0.0312640	899.430	-4.29916e-3
0.0322880	899.430	-3.77655e-4
0.0333120	899.430	1.62125e-3
0.0343360	899.430	4.80652e-4
0.0353600	899.430	-2.14767e-3
0.0363840	899.430	-3.94058e-3
0.0374080	899.270	-3.28827e-3
0.0384320	899.270	-1.25122e-3
0.0394560	899.270	6.90460e-4
0.0404800	899.270	1.30844e-3
0.0420160	899.270	1.09863e-3
0.0440640	899.270	2.82288e-4
0.0461120	899.270	-2.83432e-3
0.0481600	899.270	-3.99780e-3
0.0502080	899.270	-2.72369e-3
0.0522560	899.270	-2.78091e-3
0.0543040	899.270	-2.18964e-3
0.0563520	899.270	-3.35693e-4
0.0584000	899.270	1.76620e-3
0.0604480	899.270	5.06592e-3
0.0624960	899.012	-4.73022e-4
0.0645440	899.012	-5.86700e-3
0.0665920	899.012	-2.34604e-3
0.0686400	899.012	-4.19617e-5
0.0706880	899.012	-1.93787e-3
0.0727360	899.012	-5.34058e-5
0.0747840	899.012	4.08173e-4
0.0768320	898.793	3.47137e-4
0.0788800	898.793	1.79291e-4
0.0809280	898.793	-2.97928e-3
0.0829760	898.793	-2.58255e-3
0.0850240	898.793	3.54767e-3
0.0870720	898.793	5.31769e-3
0.0891200	898.793	-3.57056e-3
0.0911680	898.793	-6.52695e-3
0.0932160	898.793	1.71661e-4
0.0952640	898.793	-1.64032e-3
0.0973120	898.793	-2.64740e-3
0.0993600	898.633	7.59125e-4
0.101408	898.633	-4.11987e-4
0.103456	898.633	-4.33731e-3
0.105504	898.633	-2.28882e-3
0.107552	898.633	6.79016e-4
0.109600	898.633	-1.97983e-3
0.111648	898.633	-4.02069e-3
0.113696	898.633	9.15527e-4
0.115744	898.633	3.12805e-4
0.117792	898.633	-6.03485e-3
0.119840	898.633	-2.68555e-3
0.121888	898.633	5.23376e-3
0.124960	898.391	-7.24030e-3
0.129056	898.391	1.93787e-3
0.133152	898.391	-1.61743e-3
0.137248	898.113	-4.92096e-4
0.141344	898.113	-2.40326e-4
0.145440	898.113	-2.47955e-4
0.149536	898.113	0.0105362
0.153632	898.113	-0.0126381
0.157728	898.113	-6.06537e-4
0.161824	898.070	-2.67792e-3
0.165920	898.070	-2.51770e-3
0.170016	898.070	-3.81470e-6
0.174112	898.070	-3.49426e-3
0.178208	898.070	6.03867e-3
0.182304	898.070	-9.52911e-3
0.186400	897.711	5.21088e-3
0.190496	897.711	-3.08609e-3
0.194592	897.711	2.28500e-3
0.198688	897.512	-2.93732e-4
0.202784	897.512	-4.50134e-4
0.206880	897.512	1.10626e-4
0.210976	897.512	9.91821e-5
0.215072	897.512	8.19397e-3
0.219168	897.512	-9.38797e-3
0.223264	897.371	3.54767e-3
0.227360	897.371	-5.16510e-3
0.231456	897.371	1.97220e-3
0.235552	897.371	-3.65829e-3
0.239648	897.152	9.23157e-4
0.243744	897.152	6.71387e-3
0.247840	897.152	-7.95364e-3
0.251936	897.152	3.60107e-3
0.256032	897.152	-1.17874e-3
0.260128	896.934	2.29263e-3
