 ,Label,Area,X,Y,Slice
1,MASK_c8.avi:0.04 s,174261,826.8533,557.6996,1
2,MASK_c8.avi:0.08 s,174261,826.8533,557.6996,2
3,MASK_c8.avi:0.12 s,174261,826.8533,557.6996,3
4,MASK_c8.avi:0.16 s,174314,827.0187,557.6257,4
5,MASK_c8.avi:0.20 s,174314,827.0187,557.6257,5
6,MASK_c8.avi:0.24 s,174314,827.0187,557.6257,6
7,MASK_c8.avi:0.28 s,174314,827.0187,557.6257,7
8,MASK_c8.avi:0.32 s,174412,826.9536,557.3805,8
9,MASK_c8.avi:0.36 s,174412,826.9536,557.3805,9
10,MASK_c8.avi:0.40 s,174412,826.9536,557.3805,10
11,MASK_c8.avi:0.44 s,174412,826.9536,557.3805,11
12,MASK_c8.avi:0.48 s,174412,826.9536,557.3805,12
13,MASK_c8.avi:0.52 s,174423,827.0211,557.5676,13
14,MASK_c8.avi:0.56 s,174423,827.0211,557.5676,14
15,MASK_c8.avi:0.60 s,174423,827.0211,557.5676,15
16,MASK_c8.avi:0.64 s,174423,827.0211,557.5676,16
17,MASK_c8.avi:0.68 s,174352,826.8463,557.6821,17
18,MASK_c8.avi:0.72 s,174352,826.8463,557.6821,18
19,MASK_c8.avi:0.76 s,174352,826.8463,557.6821,19
20,MASK_c8.avi:0.80 s,174352,826.8463,557.6821,20
21,MASK_c8.avi:0.84 s,174425,826.9663,557.6155,21
22,MASK_c8.avi:0.88 s,174425,826.9663,557.6155,22
23,MASK_c8.avi:0.92 s,174425,826.9663,557.6155,23
24,MASK_c8.avi:0.96 s,174425,826.9663,557.6155,24
25,MASK_c8.avi:1.00 s,174352,826.9737,557.6686,25
26,MASK_c8.avi:1.04 s,174352,826.9737,557.6686,26
27,MASK_c8.avi:1.08 s,174352,826.9737,557.6686,27
28,MASK_c8.avi:1.12 s,174455,826.8930,557.5176,28
29,MASK_c8.avi:1.16 s,174455,826.8930,557.5176,29
30,MASK_c8.avi:1.20 s,174455,826.8930,557.5176,30
31,MASK_c8.avi:1.24 s,174455,826.8930,557.5176,31
32,MASK_c8.avi:1.28 s,174455,826.8930,557.5176,32
33,MASK_c8.avi:1.32 s,174411,827.0597,557.6064,33
34,MASK_c8.avi:1.36 s,174411,827.0597,557.6064,34
35,MASK_c8.avi:1.40 s,174411,827.0597,557.6064,35
36,MASK_c8.avi:1.44 s,174411,827.0597,557.6064,36
37,MASK_c8.avi:1.48 s,174376,826.9406,557.5379,37
38,MASK_c8.avi:1.52 s,174376,826.9406,557.5379,38
39,MASK_c8.avi:1.56 s,174376,826.9406,557.5379,39
40,MASK_c8.avi:1.60 s,174376,826.9406,557.5379,40
41,MASK_c8.avi:1.64 s,174362,826.9604,557.5417,41
42,MASK_c8.avi:1.68 s,174362,826.9604,557.5417,42
43,MASK_c8.avi:1.72 s,174362,826.9604,557.5417,43
44,MASK_c8.avi:1.76 s,174362,826.9604,557.5417,44
45,MASK_c8.avi:1.80 s,174440,827.0425,557.5977,45
46,MASK_c8.avi:1.84 s,174440,827.0425,557.5977,46
47,MASK_c8.avi:1.88 s,174440,827.0425,557.5977,47
48,MASK_c8.avi:1.92 s,174440,827.0425,557.5977,48
49,MASK_c8.avi:1.96 s,174367,826.9985,557.6006,49
50,MASK_c8.avi:2.00 s,174367,826.9985,557.6006,50
51,MASK_c8.avi:2.04 s,174367,826.9985,557.6006,51
52,MASK_c8.avi:2.08 s,174258,827.0261,557.6324,52
